instance,precedence_encoding,precedence_graph,precedence_configuration,solver,objective,domain_mode,basic,imp1,imp2,imp12,imp12+,n/a
tic-12.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,0.1 0,-
tic-12.prec40,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.1 0,-
tic-12.prec40,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.1 0,-
tic-12.prec40,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12.prec40,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,0.1 0,-
tic-12.prec40,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,0.1 0,-
tic-12.prec40,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,0.1 0,-
tic-12.prec40,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.1 0,-
tic-12.prec40,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.1 0,-
tic-12.prec40,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.1 0,-
tic-12.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,0.1 0,-
tic-12.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,0.1 0,-
tic-12crafc.prec30,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec30,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec30,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec30,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,0.1 0,-
tic-12crafc.prec30,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec30,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec30,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),full,-,-,-,-,0.1 0,-
tic-12crafc.prec30,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec30,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,0.1 0,-
tic-12crafc.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec30,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.1 0,-
tic-12crafc.prec30,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec30,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec30,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec30,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec30,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec30,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.1 0,-
tic-12crafc.prec30,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec30,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,0.1 0,-
tic-12crafc.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec35,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.1 0,-
tic-12crafc.prec35,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec35,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec35,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec35,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-12crafc.prec35,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec35,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec35,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec35,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,0.1 0,-
tic-12crafc.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec35,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec35,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec35,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec35,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,0.1 0,-
tic-12crafc.prec35,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec35,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec35,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.1 0,-
tic-12crafc.prec35,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec35,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,0.1 0,-
tic-12crafc.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec40,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec40,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-12crafc.prec40,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-12crafc.prec40,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec40,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec40,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec40,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec40,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.4 0,-
tic-12crafc.prec40,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-12crafc.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,0.2 0,-
tic-12crafc.prec40,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec40,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec40,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec40,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec40,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,0.4 0,-
tic-12crafc.prec40,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec40,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-12crafc.prec40,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec40,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-12crafc.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-13.prec30,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-13.prec30,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.4 0,-
tic-13.prec30,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-13.prec30,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-13.prec30,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,0.4 0,-
tic-13.prec30,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-13.prec30,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),full,-,-,-,-,0.8 0,-
tic-13.prec30,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.4 0,-
tic-13.prec30,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),full,-,-,-,-,0.7 0,-
tic-13.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-13.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-13.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,0.4 0,-
tic-13.prec30,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.7 0,-
tic-13.prec30,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,1.0 0,-
tic-13.prec30,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13.prec30,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13.prec30,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,0.8 0,-
tic-13.prec30,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13.prec30,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13.prec30,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.4 0,-
tic-13.prec30,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.4 0,-
tic-13.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13.prec35,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.7 0,-
tic-13.prec35,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.9 0,-
tic-13.prec35,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.7 0,-
tic-13.prec35,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-13.prec35,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-13.prec35,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,0.4 0,-
tic-13.prec35,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-13.prec35,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-13.prec35,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),full,-,-,-,-,0.7 0,-
tic-13.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,0.4 0,-
tic-13.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,0.5 0,-
tic-13.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-13.prec35,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13.prec35,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13.prec35,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.7 0,-
tic-13.prec35,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,0.2 0,-
tic-13.prec35,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13.prec35,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13.prec35,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13.prec35,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13.prec35,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,0.4 0,-
tic-13.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,0.7 0,-
tic-13.prec40,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.7 0,-
tic-13.prec40,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,1.0 0,-
tic-13.prec40,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.9 0,-
tic-13.prec40,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,0.7 0,-
tic-13.prec40,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,1.1 0,-
tic-13.prec40,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,0.8 0,-
tic-13.prec40,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),full,-,-,-,-,0.7 0,-
tic-13.prec40,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),full,-,-,-,-,1.0 0,-
tic-13.prec40,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),full,-,-,-,-,0.7 0,-
tic-13.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,0.7 0,-
tic-13.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,1.1 0,-
tic-13.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,0.9 0,-
tic-13.prec40,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13.prec40,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,1.0 0,-
tic-13.prec40,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.8 0,-
tic-13.prec40,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,0.6 0,-
tic-13.prec40,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,1.2 0,-
tic-13.prec40,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,0.7 0,-
tic-13.prec40,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.8 0,-
tic-13.prec40,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.4 0,-
tic-13.prec40,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.8 0,-
tic-13.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,0.7 0,-
tic-13.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,1.1 0,-
tic-13.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,0.4 0,-
tic-13crafb.prec30,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-13crafb.prec30,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.9 0,-
tic-13crafb.prec30,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-13crafb.prec30,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-13crafb.prec30,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,0.4 0,-
tic-13crafb.prec30,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,0.4 0,-
tic-13crafb.prec30,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),full,-,-,-,-,0.4 0,-
tic-13crafb.prec30,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-13crafb.prec30,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-13crafb.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-13crafb.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-13crafb.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,0.4 0,-
tic-13crafb.prec30,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13crafb.prec30,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.9 0,-
tic-13crafb.prec30,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.4 0,-
tic-13crafb.prec30,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,0.4 0,-
tic-13crafb.prec30,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,0.9 0,-
tic-13crafb.prec30,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13crafb.prec30,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13crafb.prec30,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13crafb.prec30,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13crafb.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13crafb.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13crafb.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13crafb.prec35,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-13crafb.prec35,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.4 0,-
tic-13crafb.prec35,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.4 0,-
tic-13crafb.prec35,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-13crafb.prec35,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,0.4 0,-
tic-13crafb.prec35,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,0.4 0,-
tic-13crafb.prec35,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-13crafb.prec35,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-13crafb.prec35,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-13crafb.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,0.3 0,-
tic-13crafb.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,0.4 0,-
tic-13crafb.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,0.4 0,-
tic-13crafb.prec35,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.6 0,-
tic-13crafb.prec35,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.4 0,-
tic-13crafb.prec35,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.7 0,-
tic-13crafb.prec35,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13crafb.prec35,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13crafb.prec35,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13crafb.prec35,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13crafb.prec35,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),reduced,-,-,-,-,0.4 0,-
tic-13crafb.prec35,sparse_suffix,direct,sparse_suffix+direct,multiple,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13crafb.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,incremental,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13crafb.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,maxsat,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13crafb.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,multiple,IdleRange(P*),reduced,-,-,-,-,0.3 0,-
tic-13crafb.prec40,pairwise,direct,pairwise+direct,incremental,IdleRange(P*),full,-,-,-,-,0.7 0,-
tic-13crafb.prec40,pairwise,direct,pairwise+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.8 0,-
tic-13crafb.prec40,pairwise,direct,pairwise+direct,multiple,IdleRange(P*),full,-,-,-,-,0.7 0,-
tic-13crafb.prec40,pairwise,distance_closure,pairwise+distance_closure,incremental,IdleRange(P*),full,-,-,-,-,0.9 0,-
tic-13crafb.prec40,pairwise,distance_closure,pairwise+distance_closure,maxsat,IdleRange(P*),full,-,-,-,-,0.8 0,-
tic-13crafb.prec40,pairwise,distance_closure,pairwise+distance_closure,multiple,IdleRange(P*),full,-,-,-,-,0.4 0,-
tic-13crafb.prec40,sparse_suffix,direct,sparse_suffix+direct,incremental,IdleRange(P*),full,-,-,-,-,0.6 0,-
tic-13crafb.prec40,sparse_suffix,direct,sparse_suffix+direct,maxsat,IdleRange(P*),full,-,-,-,-,0.4 0,-
